,bt,transmission,ownerNo,model,modelYear,variantName,City,Insurance Validity,Fuel Type,Kms Driven,Seating Capacity,Mileage,price,Age_of_the_Car
0,Hatchback,Manual,3,Maruti Celerio,2015,VXI,Bangalore,Third Party insurance,Petrol,120000.0,5,29.0,400000,9
1,Hatchback,Manual,1,Tata Tiago,2018,1.2 Revotron XZ,Bangalore,Comprehensive,Petrol,11949.0,5,29.0,585000,6
2,Sedan,Manual,1,Hyundai Xcent,2014,1.2 Kappa S Option,Bangalore,Comprehensive,Petrol,17794.0,5,29.0,462000,10
3,SUV,Manual,1,Maruti SX4 S Cross,2015,DDiS 200 Zeta,Bangalore,Third Party insurance,Diesel,60000.0,5,29.0,790000,9
4,Hatchback,Manual,1,Datsun GO,2017,T Option BSIV,Bangalore,Comprehensive,Petrol,37772.0,5,29.0,345000,7
5,SUV,Automatic,1,Hyundai Venue,2021,SX Plus Turbo DCT BSIV,Bangalore,Third Party insurance,Petrol,30000.0,5,29.0,1200000,3
6,Sedan,Automatic,1,Maruti Ciaz,2018,Alpha Automatic BSIV,Bangalore,Comprehensive,Petrol,37000.0,5,29.0,960000,6
7,Hatchback,Manual,1,Tata Tiago,2017,1.2 Revotron XZ WO Alloy,Bangalore,Comprehensive,Petrol,11949.0,5,29.0,585000,7
8,Hatchback,Manual,1,Maruti Baleno,2018,1.2 Delta,Bangalore,Third Party insurance,Petrol,50000.0,5,29.0,690000,6
9,Hatchback,Automatic,1,Hyundai Grand i10,2019,1.2 Kappa Sportz Option AT,Bangalore,Third Party insurance,Petrol,24887.0,5,29.0,682000,5
10,Hatchback,Automatic,1,Honda Jazz,2018,VX CVT,Bangalore,Comprehensive,Petrol,23000.0,5,29.0,825000,6
11,Hatchback,Automatic,1,Tata Tiago,2018,1.2 Revotron XZA,Bangalore,Comprehensive,Petrol,48928.0,5,29.0,595000,6
12,SUV,Manual,1,Jeep Compass,2018,2.0 Limited,Bangalore,Third Party insurance,Diesel,80000.0,5,29.0,1350000,6
13,Hatchback,Manual,2,Hyundai i20,2014,Asta 1.4 CRDi,Bangalore,Comprehensive,Diesel,65376.0,5,29.0,521000,10
14,SUV,Manual,1,Tata Nexon,2022,XM Plus S BSVI,Bangalore,Third Party insurance,Petrol,10000.0,5,29.0,1005000,2
15,Sedan,Manual,2,Honda City,2016,i VTEC V,Bangalore,Comprehensive,Petrol,67000.0,5,29.0,775000,8
16,Hatchback,Manual,1,Maruti Swift,2016,VXI,Bangalore,Comprehensive,Petrol,18083.0,5,29.0,582000,8
17,SUV,Manual,1,Renault Duster,2020,RXS,Bangalore,Third Party insurance,Petrol,30000.0,5,29.0,1090000,4
18,Hatchback,Manual,2,Tata Tiago,2016,1.2 Revotron XZ,Bangalore,Comprehensive,Petrol,57634.0,5,29.0,457000,8
19,Sedan,Manual,1,Honda City,2015,i VTEC V,Bangalore,Third Party insurance,Petrol,110000.0,5,29.0,550000,9
20,Hatchback,Automatic,1,Hyundai Santro,2018,Sportz AMT BSIV,Bangalore,Comprehensive,Petrol,23447.0,5,29.0,570000,6
21,Hatchback,Manual,2,Hyundai Santro Xing,2009,GLS LPG,Bangalore,Third Party insurance,LPG,30000.0,5,29.0,220000,15
22,Sedan,Manual,1,Hyundai Xcent,2018,1.2 VTVT SX,Bangalore,Third Party insurance,Petrol,50000.0,5,29.0,674000,6
23,Hatchback,Manual,1,Maruti Wagon R,2015,VXI BS IV,Bangalore,Comprehensive,Petrol,12434.0,5,29.0,349000,9
24,Hatchback,Manual,2,Maruti Wagon R,2015,VXI BS IV,Bangalore,Comprehensive,Petrol,40987.0,5,29.0,406000,9
25,SUV,Automatic,2,Renault Duster,2020,RXZ 110PS AMT BSIV,Bangalore,Third Party insurance,Diesel,40000.0,5,29.0,1100000,4
26,Hatchback,Manual,1,Hyundai i20,2016,Sportz 1.2,Bangalore,Comprehensive,Petrol,89667.0,5,29.0,594000,8
27,Hatchback,Manual,1,Hyundai i20,2017,Asta Option 1.4 CRDi,Bangalore,Third Party insurance,Diesel,120000.0,5,29.0,710000,7
28,Hatchback,Manual,1,Maruti Baleno,2017,1.2 Zeta,Bangalore,Zero Dep,Petrol,56997.0,5,29.0,692000,7
29,Sedan,Manual,1,Hyundai Elantra,2013,SX,Bangalore,Third Party insurance,Petrol,120000.0,5,29.0,650000,11
30,Hatchback,Manual,1,Maruti Alto 800,2021,VXI Plus BSVI,Bangalore,Zero Dep,Petrol,18835.0,5,29.0,411000,3
31,Hatchback,Manual,1,Tata Tiago,2019,XZ Plus,Bangalore,Comprehensive,Petrol,60932.0,5,29.0,610000,5
32,Hatchback,Manual,2,Tata Tiago,2018,1.2 Revotron XZ WO Alloy,Bangalore,Comprehensive,Petrol,66837.0,5,29.0,530000,6
33,Hatchback,Manual,2,Maruti Alto,2008,LXi,Bangalore,Third Party insurance,Petrol,60000.0,5,29.0,250000,16
34,Hatchback,Manual,1,Hyundai i20,2019,Magna Plus BSIV,Bangalore,Third Party insurance,Petrol,44285.0,5,29.0,715000,5
35,Hatchback,Manual,1,Hyundai Grand i10,2018,1.2 Kappa Asta,Bangalore,Comprehensive,Petrol,36735.0,5,29.0,625000,6
36,SUV,Manual,1,Tata Nexon,2018,1.5 Revotorq XM,Bangalore,Comprehensive,Diesel,53645.0,5,29.0,825000,6
37,Hatchback,Automatic,1,Maruti Celerio,2014,VXI AMT,Bangalore,Comprehensive,Petrol,53982.0,5,29.0,428000,10
38,Sedan,Manual,1,Skoda Rapid,2014,1.5 TDI Ambition With Alloy Wheel,Bangalore,Third Party insurance,Diesel,110000.0,5,29.0,695000,10
39,SUV,Manual,2,Ford Ecosport,2019,1.5 Petrol Titanium,Bangalore,Third Party insurance,Petrol,37741.0,5,29.0,930000,5
40,Hatchback,Manual,1,Maruti Alto 800,2021,VXI Plus BSVI,Bangalore,Comprehensive,Petrol,17367.0,5,29.0,455000,3
41,SUV,Manual,1,Hyundai Creta,2017,1.6 CRDi SX Plus,Bangalore,Comprehensive,Diesel,94000.0,5,29.0,1195000,7
42,Hatchback,Manual,3,Maruti Swift,2014,VXI,Bangalore,Comprehensive,Petrol,54601.0,5,29.0,442000,10
43,Hatchback,Manual,1,Maruti Swift,2018,VDI,Bangalore,Third Party insurance,Diesel,110000.0,5,29.0,690000,6
44,Hatchback,Manual,2,Maruti Celerio,2017,ZXI Optional,Bangalore,Third Party,Petrol,64000.0,5,29.0,500000,7
45,Sedan,Manual,1,Maruti Ciaz,2015,VDi Plus,Bangalore,Third Party insurance,Diesel,100000.0,5,29.0,650000,9
